70.0,72.5,3.54,4.85,40.0,40.7,90.0,91.2,12.0,12.0,1.0,1.04
70.2,72.7,11.11,8.95,40.1,40.8,90.1,91.4,12.0,12.0,1.02,1.06
70.5,73.0,0.25,2.04,40.2,40.9,90.2,91.5,12.0,12.0,1.03,1.07
70.7,73.2,4.08,8.39,40.3,41.0,90.4,91.6,12.0,12.0,1.05,1.09
70.9,73.4,1.19,1.89,40.4,41.1,90.5,91.7,12.0,12.1,1.06,1.1
71.2,73.7,8.23,2.09,40.5,41.2,90.6,91.8,12.0,12.1,1.08,1.11
71.4,73.9,2.50,6.76,40.6,41.3,90.7,92.0,12.0,12.1,1.09,1.13
71.6,74.1,7.91,3.35,40.7,41.4,90.8,92.1,12.1,12.1,1.11,1.14
71.9,74.4,7.76,11.41,40.8,41.5,90.9,92.2,12.1,12.1,1.12,1.16
72.1,74.6,8.75,0.78,40.8,41.6,91.1,92.3,12.1,12.1,1.14,1.17
72.4,74.8,10.55,9.00,40.9,41.7,91.2,92.4,12.1,12.1,1.15,1.19
72.6,75.1,3.53,3.57,41.0,41.8,91.3,92.5,12.1,12.1,1.16,1.2
72.8,75.3,1.82,8.75,41.1,41.9,91.4,92.7,12.1,12.1,1.18,1.22
73.1,75.5,5.54,8.17,41.2,42.0,91.5,92.8,12.1,12.1,1.19,1.23
73.3,75.7,1.34,0.81,41.3,42.1,91.6,92.9,12.1,12.1,1.21,1.25
73.5,76.0,5.32,8.17,41.4,42.2,91.8,93.0,12.1,12.1,1.22,1.26
73.8,76.2,3.73,6.87,41.5,42.2,91.9,93.1,12.1,12.1,1.24,1.28
74.0,76.4,3.13,4.87,41.6,42.3,92.0,93.2,12.1,12.2,1.25,1.29
74.2,76.7,9.07,0.07,41.7,42.4,92.1,93.4,12.1,12.2,1.27,1.3
74.5,76.9,9.66,3.33,41.8,42.5,92.2,93.5,12.1,12.2,1.28,1.32
74.7,77.1,2.29,7.65,41.9,42.6,92.4,93.6,12.2,12.2,1.29,1.33
74.9,77.3,3.24,7.20,42.0,42.7,92.5,93.7,12.2,12.2,1.31,1.34
75.1,77.6,11.66,9.28,42.1,42.8,92.6,93.8,12.2,12.2,1.32,1.36
75.4,77.8,8.36,5.53,42.2,42.9,92.7,93.9,12.2,12.2,1.34,1.37
75.6,78.0,10.14,4.29,42.3,43.0,92.8,94.1,12.2,12.2,1.35,1.39
75.8,78.2,8.20,0.18,42.3,43.1,92.9,94.2,12.2,12.2,1.36,1.4
76.1,78.5,7.08,0.38,42.4,43.2,93.1,94.3,12.2,12.2,1.38,1.41
76.3,78.7,5.93,5.31,42.5,43.3,93.2,94.4,12.2,12.2,1.39,1.42
76.5,78.9,4.02,11.02,42.6,43.4,93.3,94.5,12.2,12.2,1.4,1.44
76.7,79.1,5.15,6.49,42.7,43.5,93.4,94.6,12.2,12.2,1.42,1.45
77.0,79.3,9.95,6.57,42.8,43.5,93.5,94.8,12.2,12.2,1.43,1.46
77.2,79.6,10.56,1.83,42.9,43.6,93.6,94.9,12.2,12.3,1.44,1.47
77.4,79.8,3.15,9.46,43.0,43.7,93.8,95.0,12.2,12.3,1.45,1.49
77.7,80.0,8.16,6.63,43.1,43.8,93.9,95.1,12.2,12.3,1.47,1.5
