SNFL 36.284166667 -96.463333333
CJY9 39.908805556 -105.117194444
KBJC 51.305277778 4.390555556
EBHN -19.662583333 -50.951305556
EPPG 30.410425 -88.924433333
KBIX -46.04 168.311666667
NZCB -37.511666667 143.791111111
YBLT 43.455627778 -82.841783333
SWHE 36.7241694 -108.2181306
NM62 -9.878680556 -76.204569444
SPNC -8.02 156.946666667
HI13 52.127027778 0.955413889
6NY6 9.916461 123.073557
6LA2 8.548924 117.435986
CAJ3 45.2075 -67.250555556
CCS3 15.441932680 120.591828878
SN19 7.550641 125.730437
SIAN 31.671305556 -110.021527778
KPVD 36.393238889 -93.913119444
HI07 48.4830 -113.9595
NJ10 -14.106388889 -46.669444444
82GA 39.8625 4.218611111
LEMH -18.707222222 -42.838888889
0AL9 56.105 9.392777778
LL07 16.116761111 103.773797222
VTUV 31.308361111 -86.392222222
OI26 -20.685 148.625
YLAK 4.048333333 114.805
WBMU -30.534444444 139.337777778
MO31 35.831972222 -86.071747222
TN38 -9.3675 -40.563611111
SBPL 40.331694444 -94.834694444
YRID 34.529080556 -93.529425
85CO 9.569494 121.186379
VA91 -3.583333333 -74.75
SPNT 34.733611111 -78.753055556
NC86 -35.751388889 143.939444444
VA85 40.960588889 -79.001019444
3MD2 0.809444444 -77.708333333
SETU 36.686861111 -77.48275
SIAY 38.269852778 -92.811483333
LE85 -20.377777778 118.626388889
YPPD 51.117 -0.536333333
8NY3 42.25975 -104.728305556
KGUR 56.300016667 10.619008333
EKAH 18.862644 121.283675
MO25 46.346611111 -104.258111111
KBHK 30.501916667 -88.275111111
CO08 40.725555556 -7.889166667
SWIV 11.13785 75.950572222
VOCL 41.2066608 -101.1434925
YLND 55.26080 61.29843
USCG -12.168611111 -43.222094444
ENQA -44.486666667 169.986111111
NZOA -22.431666667 -151.367222222
NTAR 40.092205556 -76.574355556
12KY 40.164694444 -84.308416667
96MN 6.451005556 -71.76005
SIOR 43.4035172 -114.2725444
ID16 35.202777778 48.666666667
OIHS -7.583333333 158.733333333
2NK7 56.964853 8.705776
SIMM 53.307944444 -0.550819444
01KS 5.690797222 -76.641219444
9FD8 44.381944444 -64.4575
CDY6 -36.656666667 174.655277778
NZNE 26.592777778 127.240277778
SNKK -15.511388889 128.153055556
YWYM 35.700888889 -101.393666667
SWEB 20.698555556 77.057694444
UT24 -23.808333333 133.900833333
20OI 23.286944444 77.336916667
SWFY 11.201340 119.416967
SNJX 41.467305556 -84.506777778
KBFW 64.838333333 11.146111111
ENRM -11.34 -41.852777778
LB34 61.3701556 2.4567227
CA07 -21.912777778 120.198611111
20MA -34.38 116.321666667
NC45 23.718333333 -15.931944444
GMMH -8.695 160.68
EPZB 53.304783 -1.7276
0FD4 37.011105556 -112.531194444
KKNB 36.393888889 136.4075
RJNK 42.741361111 -78.052138889
FYOG 32.681472222 -87.662083333
SINA 37.203177778 -107.869194444
RJOO 44.865805556 -91.484255556
SIMZ 20.073611111 -98.783333333
22TA -3.072777778 -60.021111111
SWFN -30.955 149.091666667
SWEU 33.601666667 -97.775555556
OP18 -12.336397222 -49.620327778
SNHG 42.3575 -3.613611111
LEBG 38.839358333 -119.338213889
LKLT 49.223802778 -102.146005556
CJW2 -39.465833333 176.87
NZNR 45.117027778 -95.129333333
6NA0 38.054027778 -103.238472222
KETC 53.574444444 -0.350833333
SIXL 36.773944444 -90.324861111
4AK9 -23.603055556 148.806944444
YBTR 32.471666667 11.901111111
SWPC -18.783333333 21.75
EBSS 42.932777778 12.71
SWQG -18.7 23.1
52CA -33.684444444 121.822777778
YPHU 61.499444 9.798333
SIZS 44.124583333 -123.211972222
WN55 -20.233333333 26.166666667
FBNT 36.742430556 -104.501730556
KRTN 5.071961111 -76.676625
SKCD 35.851522222 -97.416177778
WY64 51.3305 0.601166667
EGMF 0.092222222 -76.869444444
SENL 33.561666667 73.031666667
OPQS 37.435363889 -95.646119444
CJB3 48.817777778 16.065833333
LKZN 41.486111111 13.718611111
WI33 -30.319166667 149.827222222
SWQP -0.548055556 166.918888889
IA99 41.824722222 -4.893055556
LEVB -26.284166667 151.861388889
YWND 32.985944444 -82.384805556
1NC1 21.980142 -98.962384
MM27 -7.218333333 -39.271666667
6NC8 32.131077778 -103.15485
MD99 42.067777778 24.850833333
MD72 39.328125 -82.441822222
SITO 40.5103262 -101.6201460
KIML -67.5705 -68.129333333
EGAR 38.110444444 -92.680555556
UAFB -19.262111 17.732465
FYTM 35.021694444 -110.722916667
XS16 37.063888889 -120.869861111
KLSN 35.596388889 -119.128277778
OR32 18.272116667 99.504061111
VTCL 45.668888889 9.700277778
IA72 17.722166667 83.222777778
4OK6 36.375955556 -97.789425
31NE 27.366944444 33.668055556
HEGO 42.777944444 -96.193694444
SNSM 37.269108333 -97.093355556
VTBH 44.925 8.625277778
MD66 53.834430556 -1.195408333
67OK 32.086091667 -88.739083333
9MO4 40.053444444 -106.368972222
AL84 55.042777778 -7.161944444
EGAE 42.998194444 -74.329555556
CD63 19.277016667 -103.5776
7TA8 30.696944444 51.55
GA63 8.301888889 80.428777778
VCCA 47.591 -114.052333
MT19 0.971988889 34.958555556
HKKT 49.926944444 16.185833333
LKVM 61.160719444 -45.425675
BGBW 44.78 8.786388889
LIMR -40.813333333 172.775277778
NZTK -23.435555556 -46.473055556
AR23 42.797166667 -88.372611111
0AZ4 39.580805556 -79.335944444
0MO8 -36.787777778 174.630277778
SNSZ 45.720555556 9.593611111
AR37 -19.842611111 -44.601166667
SNPA 30.906222222 -101.889805556
CT20 10.765555556 78.715
31MI -3.433333333 29.916666667
HE22 30.069566667 -85.575413889
3OH3 35.2115 -84.799777778
TE53 35.513666667 139.393666667
SIVG 33.971277778 -86.380388889
1II4 40.399083333 -74.659
AZ16 40.524527778 -82.850055556
YSUJ 3.470555556 72.845277778
SJGL -20.599444444 -54.6025
SSIE 44.481144444 -103.785930556
KSPF 59.070277778 18.116944444
FD90 36.666666667 65.916666667
LSPO -20.596111111 147.86
MU92 57.485 24.672222222
EVLI 36.374519444 -82.389913889
5TN2 41.923888889 8.802500000
LFKJ -37.658055556 -73.629444444
SCLB 45.074919444 2.992636111
LFHQ 68.556944444 146.231111111
TJFA -39.255833333 -72.343333333
SCMF 38.013277778 -105.374272222
MU86 33.582325 -98.618669444
8TS0 -34.088158333 23.328616667
2MA6 21.834722222 -82.783888889
MUNG 31.722555556 35.993213889
OJAI -28.321388889 -52.815555556
SSKZ 59.93165 -164.028391667
PAKI 49.462577778 -119.602277778
SJFH 59.726741667 -157.260280556
PAJZ -21.493333333 -56.153333333
II47 43.033055556 -81.151002778
6TS5 -31.916666667 26.883333333
66FD 30.277777778 -81.805944444
NY19 30.805183333 -83.589066667
SDIH 49.473000000 8.196333333
EDRF 56.906111111 -124.965
CBN9 44.444722222 4.332777778
LFHF 29.81175 -98.426055556
SAWJ 41.951055556 -86.368083333
SCON 36.120786111 -119.888466667
92CA 7.138333333 -69.775
23FD -3.44285 140.778213889
IN21 36.198388889 -95.888111111
KTUL 42.542944444 -83.177888889
IN35 26.560155556 -97.43925
LA95 -40.751433 -65.035395
SAVN 36.520027778 -86.058055556
LFJY 39.856430556 -96.630713889
KMYZ 41.83075 -90.328972222
KCWI 27.266583333 -80.850388889
KOBE -22.016666667 35.316666667
FQVL 48.961111111 10.236388889
EDPY 42.1486 -88.561947222
68IS 30.521686111 -90.418380556
SDHL -29.049166667 153.301111111
YSWB 46.251494444 -114.125541667
SJED 29.374208333 -100.927158333
SDKW -24.0025 -52.356944444
SSKM 59.575833333 16.503055556
ESSX -25.808938889 28.166972222
FASK 58.739061111 -94.066372222
3NC4 54.268333333 48.223611111
UWLL -23.849647222 29.456488889
FAPP 45.8645 -77.251472222
26WI -22.622222222 148.363888889
WV37 40.151944444 -97.584527778
SJHT 48.103333 14.95
LOLG 44.566944444 -0.057222222
DE22 38.509805556 -107.89425
KMTJ 47.385277778 4.946944444
LFGI 29.72755 -85.027377778
KAAF 37.508888889 118.789166667
47NJ 34.737336111 -120.584313889
MU45 66.551833333 -152.622166667
PFAL -18.51 -70.289166667
SCAE 46.9175 19.749166667
LHKE 47.432222222 5.621388889
LFEV 39.457583333 -74.577166667
CL81 45.473333333 13.615000000
LJPZ 51.263822222 -113.934513889
LFFM 30.786580556 -89.504536111
70TX 34.033638889 -95.542055556
ME12 -22.183611111 -49.656111111
SDGC 4.747622222 -6.660227778
DISP -24.079722222 -54.188055556
35TX 57.749966667 -152.493794444
24LA 48.864166667 17.992222222
YDYD 54.742925 -113.205208333
II84 21.317827778 -157.920263889
RP15 41.878777778 -92.284527778
KTZT -39.825 -72.0825
SCCM 35.650647222 -112.148055556
61LA 45.420555556 2.067777778
LA42 38.721827778 -88.176433333
KOLY 35.941944444 -79.6855
LFFZ -54.045 -68.831666667
4WA7 37.671638889 -97.077861111
81OH 47.326111111 -3.198888889
LFEA -18.348611111 -70.338611111
SCAR -37.934166667 -57.573333333
MM35 28.852547222 -96.918488889
KVCT 33.453722222 -93.991027778
3II1 -37.648888889 142.065277778
SSDU -22.913055556 136.119444444
SC48 60.086944444 22.521944444
SDDO 45.039722222 1.485555556
61XS 33.404997222 -118.415769444
7WI1 -23.674632 -49.815481
24XS 10.525861 119.274147
NGTM -34.948888889 150.536944444
YSNW 45.669527778 -96.993586111
PS99 42.726694444 -114.456638889
79IL 47.592819444 -95.7735
